metatranscriptomics_name	kraken2_taxonomy
k141_94594	Pseudomonas migulae (taxid 78543)
k141_208046	Serratia sp. JKS000199 (taxid 1938820)
k141_61	Pseudomonas fragi (taxid 296)
k141_75685	Pseudomonas fluorescens NCIMB 11764 (taxid 1221522)
k141_245847	Pluralibacter gergoviae (taxid 61647)
k141_226938	Vibrio atlanticus (taxid 693153)
k141_56764	Achromobacter xylosoxidans (taxid 85698)
k141_245848	Burkholderia cepacia (taxid 292)
k141_18972	Ralstonia pickettii 12J (taxid 402626)
k141_37856	Pseudomonas mendocina (taxid 300)
k141_226941	Pseudomonas putida H8234 (taxid 1331671)
k141_189132	Thermotoga maritima (taxid 2336)
k141_113482	Nocardioides sp. dk884 (taxid 2662361)
k141_151334	Cutibacterium acnes (taxid 1747)
k141_208053	Clostridium (taxid 1485)
k141_245852	Phreatobacter sp. NMCR1094 (taxid 2570229)
k141_132403	Hydrogenophaga sp. RAC07 (taxid 1842537)
k141_69	Pseudomonas fluorescens group (taxid 136843)
k141_113483	Achromobacter xylosoxidans (taxid 85698)
k141_18976	Pseudomonas fluorescens (taxid 294)
k141_151335	Hydrogenophaga sp. RAC07 (taxid 1842537)
k141_245854	Leuconostoc falkenbergense (taxid 2766470)
k141_37859	Pseudomonas putida H8234 (taxid 1331671)
k141_56775	Pseudomonas psychrophila (taxid 122355)
k141_75699	Pseudomonas putida (taxid 303)
k141_94599	Pseudomonas fragi (taxid 296)
k141_226947	Agrobacterium tumefaciens complex (taxid 1183400)
k141_113487	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_245857	Pseudomonas lundensis (taxid 86185)
k141_37860	Achromobacter xylosoxidans (taxid 85698)
k141_151340	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_208054	Enterobacteriaceae (taxid 543)
k141_132409	Paraburkholderia fungorum (taxid 134537)
k141_170256	Aeromicrobium erythreum (taxid 2041)
k141_189144	Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
k141_151343	Pseudomonas psychrophila (taxid 122355)
k141_170257	Limosilactobacillus vaginalis (taxid 1633)
k141_37864	Dietzia sp. oral taxon 368 (taxid 712270)
k141_208056	Pseudomonas fragi (taxid 296)
k141_56783	Pseudomonas azotoformans (taxid 47878)
k141_170258	Serratia sp. LS-1 (taxid 2485839)
k141_94610	Pseudomonas sp. R76 (taxid 1573711)
k141_81	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_18990	Pseudomonas alcaliphila JAB1 (taxid 741155)
k141_189147	Serratia marcescens (taxid 615)
k141_56784	Pseudomonas putida (taxid 303)
k141_37868	Agrococcus carbonis (taxid 684552)
k141_208058	Pseudomonas fluorescens (taxid 294)
k141_75711	Achromobacter xylosoxidans (taxid 85698)
k141_245868	Pseudomonas pseudoalcaligenes CECT 5344 (taxid 1182590)
k141_18992	Pseudomonas fragi (taxid 296)
k141_82	Enterobacteriaceae (taxid 543)
k141_226948	Kluyvera ascorbata (taxid 51288)
k141_245869	Vibrio (taxid 662)
k141_75715	Pseudomonas fragi (taxid 296)
k141_132419	Enterobacteriaceae (taxid 543)
k141_226949	Microbacteriaceae (taxid 85023)
k141_208061	Ligilactobacillus salivarius (taxid 1624)
k141_151345	Photobacterium profundum SS9 (taxid 298386)
k141_245873	Enterobacteriaceae (taxid 543)
k141_84	Pseudomonas putida S13.1.2 (taxid 1384061)
k141_170265	Pseudomonas mendocina NK-01 (taxid 1001585)
k141_132422	Lactobacillus salivarius UCC118 (taxid 362948)
k141_132423	Paraburkholderia fungorum (taxid 134537)
k141_189158	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_86	Enterobacteriaceae (taxid 543)
k141_151350	Acinetobacter piscicola (taxid 2006115)
k141_170271	Acinetobacter (taxid 469)
k141_226958	Geobacillus subterraneus (taxid 129338)
k141_37883	Pseudomonas fragi (taxid 296)
k141_208073	[Clostridium] ultunense Esp (taxid 1288971)
k141_90	Xanthomonas fragariae (taxid 48664)
k141_151351	Pseudomonas versuta (taxid 1788301)
k141_113504	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_75723	Advenella kashmirensis WT001 (taxid 1036672)
k141_170272	Pseudomonas psychrophila (taxid 122355)
k141_91	Phreatobacter cathodiphilus (taxid 1868589)
k141_37886	Pseudomonas putida B6-2 (taxid 1081940)
k141_226962	Paraburkholderia fungorum (taxid 134537)
k141_113505	Clostridium isatidis (taxid 182773)
k141_75724	Vibrio zhugei (taxid 2479546)
k141_56786	Lactobacillus crispatus ST1 (taxid 748671)
k141_19011	Achromobacter xylosoxidans (taxid 85698)
k141_75725	Bacteria (taxid 2)
k141_93	Pseudomonas lundensis (taxid 86185)
k141_170274	Streptococcus equinus (taxid 1335)
k141_113506	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_132424	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_226967	Pseudomonas putida F1 (taxid 351746)
k141_189173	Pseudomonas protegens (taxid 380021)
k141_151354	Pseudomonas fragi (taxid 296)
k141_132425	Dietzia psychralcaliphila (taxid 139021)
k141_19014	Pseudomonas fluorescens (taxid 294)
k141_94647	Pseudomonas fragi (taxid 296)
k141_226968	Pseudomonas fragi (taxid 296)
k141_98	Bacteria (taxid 2)
k141_170278	Pluralibacter gergoviae (taxid 61647)
k141_19016	Weissella confusa (taxid 1583)
k141_94649	Ralstonia pickettii 12J (taxid 402626)
k141_208092	Pseudomonas putida GB-1 (taxid 76869)
k141_56796	Paraburkholderia fungorum (taxid 134537)
k141_75737	Vibrio furnissii (taxid 29494)
k141_113513	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_56797	Limosilactobacillus mucosae (taxid 97478)
k141_170282	Pseudomonas protegens (taxid 380021)
k141_132428	Pseudomonas psychrophila (taxid 122355)
k141_75739	Pseudomonas chlororaphis (taxid 587753)
k141_94656	Achromobacter deleyi (taxid 1353891)
k141_105	Pseudomonas sp. NIBRBAC000502773 (taxid 2590776)
k141_245892	Pluralibacter gergoviae (taxid 61647)
k141_113514	Delftia acidovorans (taxid 80866)
k141_94658	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_170284	Delftia acidovorans (taxid 80866)
k141_75740	Vibrio breoganii (taxid 553239)
k141_132431	Pseudomonas extremaustralis (taxid 359110)
k141_107	Leuconostoc citreum (taxid 33964)
k141_19026	Pseudomonas fragi (taxid 296)
k141_245897	Lactobacillus amylovorus (taxid 1604)
k141_110	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_113516	Pseudomonas fragi (taxid 296)
k141_56808	Pseudomonas extremorientalis (taxid 169669)
k141_19027	Pseudomonas fragi (taxid 296)
k141_56809	Pseudomonas fragi (taxid 296)
k141_132438	Ralstonia pickettii (taxid 329)
k141_75744	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_208108	Pseudomonas mendocina S5.2 (taxid 1225174)
k141_94663	Pluralibacter gergoviae (taxid 61647)
k141_56810	Microbacteriaceae (taxid 85023)
k141_114	Comamonadaceae (taxid 80864)
k141_226971	Limosilactobacillus reuteri (taxid 1598)
k141_151380	Lactobacillus mucosae LM1 (taxid 1130798)
k141_113519	Achromobacter xylosoxidans (taxid 85698)
k141_208109	Achromobacter xylosoxidans (taxid 85698)
k141_170297	Pseudomonas mandelii (taxid 75612)
k141_56815	Pseudomonas putida (taxid 303)
k141_75749	Pseudomonas fragi (taxid 296)
k141_94670	Achromobacter xylosoxidans (taxid 85698)
k141_132446	Pseudomonas putida (taxid 303)
k141_132448	Vibrio ziniensis (taxid 2711221)
k141_56819	Anoxybacillus flavithermus WK1 (taxid 491915)
k141_208118	Leptotrichia wadei (taxid 157687)
k141_19035	Pseudomonas psychrophila (taxid 122355)
k141_94676	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_129	Photobacterium gaetbulicola Gung47 (taxid 658445)
k141_245920	Delftia acidovorans (taxid 80866)
k141_170311	Anoxybacillus gonensis (taxid 198467)
k141_113522	Limosilactobacillus mucosae (taxid 97478)
k141_56825	Phreatobacter cathodiphilus (taxid 1868589)
k141_132453	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_37906	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_208125	Curtobacterium flaccumfaciens pv. flaccumfaciens (taxid 138532)
k141_245922	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_189178	Lactobacillus reuteri SD2112 (taxid 491077)
k141_113526	Enterobacteriaceae (taxid 543)
k141_19045	Limosilactobacillus vaginalis (taxid 1633)
k141_94680	Pseudomonas putida GB-1 (taxid 76869)
k141_75751	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_170317	Achromobacter xylosoxidans (taxid 85698)
k141_189181	Serratia ureilytica (taxid 300181)
k141_94681	Cupriavidus necator (taxid 106590)
k141_151387	Pseudomonas fragi (taxid 296)
k141_132457	Pseudomonas sp. Ost2 (taxid 2678260)
k141_75754	Thermotoga sp. 2812B (taxid 1157948)
k141_170319	Acinetobacter pittii (taxid 48296)
k141_56833	Pluralibacter gergoviae (taxid 61647)
k141_208126	Pluralibacter gergoviae (taxid 61647)
k141_37915	Pseudomonas veronii (taxid 76761)
k141_143	Pseudomonas fragi (taxid 296)
k141_151389	Limosilactobacillus mucosae (taxid 97478)
k141_226988	Pluralibacter gergoviae (taxid 61647)
k141_208129	Limosilactobacillus frumenti (taxid 104955)
k141_245932	Lactobacillus amylovorus GRL 1112 (taxid 695560)
k141_113536	Enterobacteriaceae (taxid 543)
k141_75759	Serratia marcescens (taxid 615)
k141_19057	Pseudomonas yamanorum (taxid 515393)
k141_189184	Pseudomonas fluorescens WH6 (taxid 746360)
k141_170324	Pseudomonas protegens Cab57 (taxid 1420599)
k141_226991	Pseudomonas putida (taxid 303)
k141_113537	Pseudomonas putida (taxid 303)
k141_208134	Lactobacillus crispatus ST1 (taxid 748671)
k141_170326	Acinetobacter johnsonii (taxid 40214)
k141_245935	Stenotrophomonas maltophilia (taxid 40324)
k141_19062	Pseudomonas psychrophila (taxid 122355)
k141_75766	Paraburkholderia fungorum (taxid 134537)
k141_157	Clostridium isatidis (taxid 182773)
k141_189186	Pseudomonas protegens Cab57 (taxid 1420599)
k141_37928	Paracoccus sp. Arc7-R13 (taxid 2500532)
k141_226995	unclassified Pseudomonas (taxid 196821)
k141_37929	Delftia acidovorans (taxid 80866)
k141_94701	Pseudomonas fragi (taxid 296)
k141_151393	Pseudomonas fragi (taxid 296)
k141_245936	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_19063	Acinetobacter piscicola (taxid 2006115)
k141_75771	Pseudomonas fluorescens (taxid 294)
k141_151394	Lactiplantibacillus plantarum (taxid 1590)
k141_113540	Pseudomonas fragi (taxid 296)
k141_94702	Serratia marcescens (taxid 615)
k141_132460	Dietzia psychralcaliphila (taxid 139021)
k141_19066	Pseudomonas fragi (taxid 296)
k141_94705	Moritella sp. 24 (taxid 2746230)
k141_37938	Pseudomonas sp. Ost2 (taxid 2678260)
k141_75777	Achromobacter xylosoxidans (taxid 85698)
k141_113547	Hydrogenophaga sp. RAC07 (taxid 1842537)
k141_172	Pseudomonas lundensis (taxid 86185)
k141_19070	Vibrio (taxid 662)
k141_245937	Pseudomonas sp. Ost2 (taxid 2678260)
k141_151400	Pseudomonas mucidolens (taxid 46679)
k141_132462	Lactobacillus crispatus (taxid 47770)
k141_151402	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_75781	Pseudomonas putida (taxid 303)
k141_227000	Lactobacillus salivarius str. Ren (taxid 1194971)
k141_56836	Lactobacillus salivarius UCC118 (taxid 362948)
k141_179	Pseudomonas fluorescens Pf0-1 (taxid 205922)
k141_75783	Bacillaceae (taxid 186817)
k141_56837	Enterobacteriaceae (taxid 543)
k141_75784	Serratia marcescens (taxid 615)
k141_181	Lactobacillus amylovorus (taxid 1604)
k141_94708	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_75785	Pseudomonas protegens Cab57 (taxid 1420599)
k141_37944	Pseudomonas fragi (taxid 296)
k141_132473	Pseudomonas (taxid 286)
k141_208150	Lactobacillus reuteri TD1 (taxid 1358027)
k141_151414	Paraburkholderia fungorum (taxid 134537)
k141_227011	Acinetobacter haemolyticus (taxid 29430)
k141_113560	Nocardioides sp. MC1495 (taxid 2736757)
k141_208151	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_19074	Pseudomonas fluorescens WH6 (taxid 746360)
k141_56843	Pseudomonas putida (taxid 303)
k141_189	Lactiplantibacillus plantarum (taxid 1590)
k141_19076	Keratinibaculum paraultunense (taxid 1278232)
k141_245962	Pseudomonas fragi (taxid 296)
k141_113565	Limosilactobacillus mucosae (taxid 97478)
k141_75796	Pluralibacter gergoviae (taxid 61647)
k141_151415	Pseudomonas fragi (taxid 296)
k141_208159	Pseudomonas psychrophila (taxid 122355)
k141_170329	Dietzia psychralcaliphila (taxid 139021)
k141_37956	Limosilactobacillus frumenti (taxid 104955)
k141_19080	Achromobacter xylosoxidans (taxid 85698)
k141_208161	Hydrogenophaga sp. RAC07 (taxid 1842537)
k141_197	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_75800	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_19081	Pseudomonas fragi (taxid 296)
k141_170335	Pseudomonas migulae (taxid 78543)
k141_208165	Stenotrophomonas maltophilia (taxid 40324)
k141_113568	Pseudomonas psychrophila (taxid 122355)
k141_75803	Acinetobacter defluvii (taxid 1871111)
k141_202	Phreatobacter cathodiphilus (taxid 1868589)
k141_227030	Pseudomonas fragi (taxid 296)
k141_113572	Pseudomonas azotoformans (taxid 47878)
k141_245969	Pluralibacter gergoviae (taxid 61647)
k141_75808	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_208172	Pseudomonas putida (taxid 303)
k141_170336	Pseudomonas lundensis (taxid 86185)
k141_151423	Pseudomonas fragi (taxid 296)
k141_113578	Pseudomonas sp. 7SR1 (taxid 1881017)
k141_75812	Serratia marcescens subsp. marcescens Db11 (taxid 273526)
k141_227036	Pseudomonas protegens Cab57 (taxid 1420599)
k141_208174	Pseudomonas lundensis (taxid 86185)
k141_37980	Vibrio parahaemolyticus (taxid 670)
k141_208	Lactobacillus reuteri I5007 (taxid 1340495)
k141_94711	Pseudomonas lundensis (taxid 86185)
k141_19089	Pseudomonas fragi (taxid 296)
k141_170338	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_113580	Pseudomonas mendocina NK-01 (taxid 1001585)
k141_245976	Pseudomonas sp. MPC6 (taxid 2498848)
k141_227040	Pseudomonas fragi (taxid 296)
k141_19091	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_113581	Pseudomonas fragi (taxid 296)
k141_227042	Paraburkholderia fungorum (taxid 134537)
k141_170341	Gordonia sp. KTR9 (taxid 337191)
k141_56861	Lactobacillus reuteri SD2112 (taxid 491077)
k141_75821	Pseudomonas fragi (taxid 296)
k141_217	Hydrogenophaga pseudoflava (taxid 47421)
k141_37990	Pseudomonas putida H8234 (taxid 1331671)
k141_245985	Achromobacter xylosoxidans (taxid 85698)
k141_56867	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_113590	Clostridium baratii str. Sullivan (taxid 1415775)
k141_219	Pluralibacter gergoviae (taxid 61647)
k141_170349	Pseudomonas fragi (taxid 296)
k141_75828	Acinetobacter piscicola (taxid 2006115)
k141_37994	Pseudomonas protegens Cab57 (taxid 1420599)
k141_19111	Pseudomonas protegens (taxid 380021)
k141_208178	Pluralibacter gergoviae (taxid 61647)
k141_132477	Pseudomonas lundensis (taxid 86185)
k141_151450	Achromobacter xylosoxidans (taxid 85698)
k141_37997	Lactobacillus amylovorus GRL 1112 (taxid 695560)
k141_113597	Pluralibacter gergoviae (taxid 61647)
k141_75832	Achromobacter xylosoxidans A8 (taxid 762376)
k141_226	Pseudomonas putida (taxid 303)
k141_170355	Thermotoga maritima (taxid 2336)
k141_56868	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_94720	Pluralibacter gergoviae (taxid 61647)
k141_19113	Pseudomonas sp. SK (taxid 2729423)
k141_189207	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_75833	Pseudomonas protegens (taxid 380021)
k141_227	Pseudomonas protegens (taxid 380021)
k141_37999	Pseudomonas fragi (taxid 296)
k141_113604	Pseudomonas extremorientalis (taxid 169669)
k141_151461	Glaesserella sp. 15-184 (taxid 2030797)
k141_189211	Photobacterium ganghwense (taxid 320778)
k141_208181	Limosilactobacillus fermentum (taxid 1613)
k141_227059	Pseudomonas fragi (taxid 296)
k141_19114	Lactobacillus mucosae LM1 (taxid 1130798)
k141_189212	Stenotrophomonas maltophilia (taxid 40324)
k141_231	Achromobacter deleyi (taxid 1353891)
k141_38001	Pseudomonas fragi (taxid 296)
k141_113607	Moritella sp. 24 (taxid 2746230)
k141_132490	Achromobacter xylosoxidans (taxid 85698)
k141_19115	Lactobacillus salivarius UCC118 (taxid 362948)
k141_246012	Pseudomonas mendocina (taxid 300)
k141_227064	Pseudomonas synxantha (taxid 47883)
k141_170369	Achromobacter xylosoxidans A8 (taxid 762376)
k141_189213	Pseudomonas fragi (taxid 296)
k141_208189	Serratia marcescens (taxid 615)
k141_113613	Clostridium isatidis (taxid 182773)
k141_132491	Pseudomonas sp. SCB32 (taxid 2653853)
k141_75846	Pseudomonas mendocina (taxid 300)
k141_38002	Enterobacteriaceae (taxid 543)
k141_19116	Pseudomonas sp. Tri1 (taxid 2823875)
k141_227066	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_189221	Pseudomonas psychrophila (taxid 122355)
k141_38004	Pseudomonas sp. R5-89-07 (taxid 658644)
k141_246015	Pseudomonas trivialis (taxid 200450)
k141_75850	Achromobacter xylosoxidans (taxid 85698)
k141_94738	Achromobacter xylosoxidans (taxid 85698)
k141_132494	Lactobacillus reuteri TD1 (taxid 1358027)
k141_151471	Pseudomonas sp. ADAK18 (taxid 2730848)
k141_113615	Pseudomonas psychrophila (taxid 122355)
k141_208192	Vibrio ziniensis (taxid 2711221)
k141_75853	Phreatobacter cathodiphilus (taxid 1868589)
k141_94740	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_75854	Anoxybacillus kamchatkensis G10 (taxid 1212546)
k141_19123	Pseudomonas fluorescens group (taxid 136843)
k141_246022	Pseudomonas fragi (taxid 296)
k141_208199	Pseudomonas sp. RC3H12 (taxid 2834406)
k141_151479	Lactiplantibacillus (taxid 2767842)
k141_94746	Achromobacter xylosoxidans (taxid 85698)
k141_38014	Achromobacter xylosoxidans A8 (taxid 762376)
k141_113627	Acinetobacter piscicola (taxid 2006115)
k141_75860	Pluralibacter gergoviae (taxid 61647)
k141_19125	Acinetobacter piscicola (taxid 2006115)
k141_246027	Pseudomonas fragi (taxid 296)
k141_113628	Pseudomonas protegens Cab57 (taxid 1420599)
k141_227067	Aeromicrobium erythreum (taxid 2041)
k141_189225	Pluralibacter gergoviae (taxid 61647)
k141_235	Pseudomonas fragi (taxid 296)
k141_113631	Acinetobacter sp. YH12138 (taxid 2601122)
k141_38021	Pseudomonas fragi (taxid 296)
k141_246029	Lactobacillus crispatus (taxid 47770)
k141_75862	Enterobacteriaceae (taxid 543)
k141_19130	Lactobacillus amylovorus GRL 1112 (taxid 695560)
k141_151492	Lactobacillus mucosae LM1 (taxid 1130798)
k141_189233	Pseudomonas sp. St29 (taxid 1500687)
k141_132509	Ligilactobacillus salivarius (taxid 1624)
k141_75863	Serratia sp. LS-1 (taxid 2485839)
k141_244	Pseudomonas sp. S35 (taxid 1573719)
k141_113635	Escherichia coli (taxid 562)
k141_56879	Limosilactobacillus reuteri (taxid 1598)
k141_94761	Lactobacillus amylolyticus (taxid 83683)
k141_151494	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_19133	Pseudomonas (taxid 286)
k141_227072	Pseudomonas fluorescens R124 (taxid 743713)
k141_19139	Achromobacter deleyi (taxid 1353891)
k141_56885	Pseudomonas stutzeri (taxid 316)
k141_113641	Vibrio (taxid 662)
k141_38023	Aeromicrobium marinum DSM 15272 (taxid 585531)
k141_56886	Pseudomonas psychrophila (taxid 122355)
k141_248	Pluralibacter gergoviae (taxid 61647)
k141_75864	Pseudomonas cichorii (taxid 36746)
k141_189250	Anoxybacillus flavithermus (taxid 33934)
k141_208215	Lactobacillus reuteri SD2112 (taxid 491077)
k141_151505	Pseudomonas mendocina (taxid 300)
k141_113642	Pseudomonas fragi (taxid 296)
k141_38026	Thermotoga sp. 2812B (taxid 1157948)
k141_94774	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_132526	Pluralibacter gergoviae (taxid 61647)
k141_253	Pseudomonas fragi (taxid 296)
k141_94776	Streptococcus sobrinus (taxid 1310)
k141_38030	Pseudomonas psychrophila (taxid 122355)
k141_75872	Aeromicrobium erythreum (taxid 2041)
k141_246033	Pseudomonas lundensis (taxid 86185)
k141_151508	Pseudomonas fragi (taxid 296)
k141_227091	Paraburkholderia fungorum (taxid 134537)
k141_75873	Pseudomonas sp. 02C 26 (taxid 2054914)
k141_56897	Pseudomonas psychrophila (taxid 122355)
k141_94782	Neobacillus thermocopriae (taxid 1215031)
k141_260	Photobacterium damselae (taxid 38293)
k141_75874	Pseudomonas protegens (taxid 380021)
k141_113653	Dietzia psychralcaliphila (taxid 139021)
k141_170398	Pseudomonas lundensis (taxid 86185)
k141_19160	Pseudomonas putida S13.1.2 (taxid 1384061)
k141_132534	Pseudomonas lundensis (taxid 86185)
k141_151514	Mesirhizobium sp. NIBR3 (taxid 675281)
k141_189264	Achromobacter xylosoxidans (taxid 85698)
k141_208217	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_56898	Pseudomonas sp. IB20 (taxid 1702250)
k141_94784	Hydrogenophaga sp. BPS33 (taxid 2651974)
